FIPS,State,Area_name,MedianHHInc_2018
1001,AL,"Autauga County, AL",59338
1003,AL,"Baldwin County, AL",57588
1005,AL,"Barbour County, AL",34382
1007,AL,"Bibb County, AL",46064
1009,AL,"Blount County, AL",50412
1011,AL,"Bullock County, AL",29267
1013,AL,"Butler County, AL",37365
1015,AL,"Calhoun County, AL",45400
1017,AL,"Chambers County, AL",39917
1019,AL,"Cherokee County, AL",42132
1021,AL,"Chilton County, AL",47547
1023,AL,"Choctaw County, AL",39907
1025,AL,"Clarke County, AL",40741
1027,AL,"Clay County, AL",39201
1029,AL,"Cleburne County, AL",46495
1031,AL,"Coffee County, AL",55122
1033,AL,"Colbert County, AL",49055
1035,AL,"Conecuh County, AL",32613
1037,AL,"Coosa County, AL",42423
1039,AL,"Covington County, AL",40203
1041,AL,"Crenshaw County, AL",39057
1043,AL,"Cullman County, AL",45796
1045,AL,"Dale County, AL",45309
1047,AL,"Dallas County, AL",34035
1049,AL,"DeKalb County, AL",39491
1051,AL,"Elmore County, AL",60367
1053,AL,"Escambia County, AL",38418
1055,AL,"Etowah County, AL",44903
1057,AL,"Fayette County, AL",39254
1059,AL,"Franklin County, AL",39388
1061,AL,"Geneva County, AL",37823
1063,AL,"Greene County, AL",28524
1065,AL,"Hale County, AL",34724
1067,AL,"Henry County, AL",46027
1069,AL,"Houston County, AL",47993
1071,AL,"Jackson County, AL",41929
1073,AL,"Jefferson County, AL",55013
1075,AL,"Lamar County, AL",40936
1077,AL,"Lauderdale County, AL",48707
1079,AL,"Lawrence County, AL",43909
1081,AL,"Lee County, AL",48937
1083,AL,"Limestone County, AL",64863
1085,AL,"Lowndes County, AL",33973
1087,AL,"Macon County, AL",32495
1089,AL,"Madison County, AL",63755
1091,AL,"Marengo County, AL",37733
1093,AL,"Marion County, AL",37887
1095,AL,"Marshall County, AL",46233
1097,AL,"Mobile County, AL",43598
1099,AL,"Monroe County, AL",39556
1101,AL,"Montgomery County, AL",49640
1103,AL,"Morgan County, AL",52797
1105,AL,"Perry County, AL",26814
1107,AL,"Pickens County, AL",37586
1109,AL,"Pike County, AL",37259
1111,AL,"Randolph County, AL",40546
1113,AL,"Russell County, AL",39104
1115,AL,"St. Clair County, AL",57284
1117,AL,"Shelby County, AL",75663
1119,AL,"Sumter County, AL",27859
1121,AL,"Talladega County, AL",41630
1123,AL,"Tallapoosa County, AL",42205
1125,AL,"Tuscaloosa County, AL",52557
1127,AL,"Walker County, AL",45434
1129,AL,"Washington County, AL",44424
1131,AL,"Wilcox County, AL",25385
1133,AL,"Winston County, AL",41156
2013,AK,"Aleutians East Borough, AK",70081
2016,AK,"Aleutians West Census Area, AK",82633
2020,AK,"Anchorage Borough/municipality, AK",82113
2050,AK,"Bethel Census Area, AK",44304
2060,AK,"Bristol Bay Borough, AK",77257
2068,AK,"Denali Borough, AK",75477
2070,AK,"Dillingham Census Area, AK",54524
2090,AK,"Fairbanks North Star Borough, AK",74268
